preprocessedTweets	Polarity	cleanTweet	sentiment_score
پيپلز پارٹي کو چاہيے کہ گولڈن جوبلي کے ساتھ ساتھ چاليسواں بھي منا ليتے پارٹي کا	N	پيپلز پارٹي چاہيے گولڈن جوبلي ساتھ ساتھ چاليسواں بھي منا ليتے پارٹي	0
چئيرمين نيب پر بہت بڑي ذمہ داري ہے<+>پبلک پريشر بہت بڑھ چکا ہے<+>سوشل ميڈيا کا زمانہ ہے<+>ان کو فيصلہ ليناپڑے گا	N	چئيرمين نيب بہت بڑي ذمہ داري ہےپبلک پريشر بہت بڑھ چکا ہےسوشل ميڈيا زمانہ ہےان فيصلہ ليناپڑے	1
اسلام آبادلوہار اور پٹواري کو سمجھ نہيں آ رہي،آصف زرداري	N	اسلام آبادلوہار پٹواري سمجھ نہيں آ رہي،آصف زرداري	1
"لڑکي<><+><+><><+><+> جب ميں پاس ہوئي تھي تو ميرے پاپا نے مجھے ہزار کا سوٹ <><+><+><><+><+>لے کر ديا تھا 
لڑکا <><+><+><><+><+>بس اوے پگلي جب ميں ف…"	N	"لڑکي جب ميں پاس ہوئي تھي ميرے پاپا مجھے ہزار سوٹ ديا 
لڑکا بس اوے پگلي جب ميں ف…"	2
برمي فوجيوں کي جانب سے مسلمانوں کي نسل کشي خارج از امکان نہيں، اقوام متحدہ	N	برمي فوجيوں کي جانب مسلمانوں کي نسل کشي خارج از امکان نہيں، اقوام متحدہ	-2
پيپلزپارٹي کا جلسہ، کارکنان گتھم گتھا ہوگئے	N	پيپلزپارٹي جلسہ، کارکنان گتھم گتھا	0
"رپورٹ ميں سے کچھ ڈيليٹ کرنيوالے خود ڈيليٹ ہو جائينگے، کنٹينر تيار ہے ڈاکٹر طاہرالقادري
 
…"	N	"رپورٹ ميں کچھ ڈيليٹ کرنيوالے خود ڈيليٹ جائينگے، کنٹينر تيار ڈاکٹر طاہرالقادري
 
…"	0
"ظالم کو جو نہ روکے وہ شامل ہے ظلم ميں 
قاتل کو جو نہ ٹوکے وہ قاتل کے ساتھ ہے"	N	"ظالم نہ روکے شامل ظلم ميں 
قاتل نہ ٹوکے قاتل ساتھ"	-6
اکتوبر  صبح  بجے کا گلوبل نيوز بيٹ	O	اکتوبر صبح بجے گلوبل نيوز بيٹ	1
انسان کوشش کرتا ہے ، کاميابي خدا ديتا ہے ، عمران خان	P	انسان کوشش کرتا ، کاميابي خدا ديتا ، عمران خان	0
"بلاؤ اپنےحسين اورعلي کو
 
رپورٹ نےبڑےسوال اٹھا ديے، کيا پوليس ايسا کہ سکتي ہے؟ يا ورديوں ميں ملبوس…"	N	"بلاؤ اپنےحسين اورعلي کو
 
رپورٹ نےبڑےسوال اٹھا ديے، کيا پوليس ايسا سکتي ہے؟ يا ورديوں ميں ملبوس…"	0
بسمہ امجد کا شہباز شريف کو منہ توڑ جواب ،، تم جتنا ظلم کر سکتے ہو کر لو، نہ ڈرے ، نہ ڈريں گے، نہ تم کبھي خريد سکو گ…	N	بسمہ امجد شہباز شريف منہ توڑ جواب ،، تم جتنا ظلم سکتے لو، نہ ڈرے ، نہ ڈريں گے، نہ تم کبھي خريد سکو گ…	-2
رپورٹ ميں ردوبدل کيا گيا ہے	N	رپورٹ ميں ردوبدل کيا گيا	0
باقر نجفي رپورٹ کي بنياد ہي نام نہاد شريفوں کے گلے کا پھندہ بنے گي<+> ان شاء اللہ	N	باقر نجفي رپورٹ کي بنياد ہي نام نہاد شريفوں گلے پھندہ بنے گي شاء اللہ	1
پنجاب حکومت نے رپورٹ تبديل کرتے کرتے ، ميٹنگ کي تاريخ بھي تبديل کر دي<+>	N	پنجاب حکومت رپورٹ تبديل ، ميٹنگ کي تاريخ بھي تبديل دي	0
زرداري نے پاکستان کھپے کا نعرہ لگايا اور ميں نے جمہوريت بہترين انتقام کا ،بلاول	O	زرداري پاکستان کھپے نعرہ لگايا ميں جمہوريت بہترين انتقام ،بلاول	-2
شمالي کوريا کي جانب سے بڑھتےہوئے خطرات کے تناظر ميں جاپان ميں قبلِ از وقت انتخابات کے ليے پولنگ	N	شمالي کوريا کي جانب بڑھتےہوئے خطرات تناظر ميں جاپان ميں قبلِ از وقت انتخابات ليے پولنگ	0
گجرات ميں ديور بھابھي پراسرار طور پر زندہ جل گئے	N	گجرات ميں ديور بھابھي پراسرار زندہ جل	-4
طلبا کے کئي مطالبات يونيورسٹي نے پہلے ہي منظور کيے ہيں،مشتاق غني	N	طلبا کئي مطالبات يونيورسٹي پہلے ہي منظور کيے ہيں،مشتاق غني	0
سانحہ ماڈل ٹاون پر ايکشن نہيں ليا گيا تو ايسے واقعات دوبارہ ہو سکتے ہيں	N	سانحہ ماڈل ٹاون ايکشن نہيں ليا گيا ايسے واقعات دوبارہ سکتے ہيں	-2
مزيد تفصيلات کے لئے لنک پرکلک کريں	O	مزيد تفصيلات لنک پرکلک کريں	0
"پاکستان کےخلاف بيروني سطح پربھرپورسازشيں چل رہي ہيں،احسن اقبال
عدالت سےکہاکچھ وقت دياجائےتاکہ مذاکرات سےمعاملہ حل کريں،وزيرداخلہ"	N	"پاکستان کےخلاف بيروني سطح پربھرپورسازشيں چل رہي ہيں،احسن اقبال
عدالت سےکہاکچھ وقت دياجائےتاکہ مذاکرات سےمعاملہ حل کريں،وزيرداخلہ"	0
"رپورٹ ميں سے کچھ ڈيليٹ کرنيوالے خود ڈيليٹ ہو جائينگے، کنٹينر تيار ہے ڈاکٹر طاہرالقادري
 
…"	N	"رپورٹ ميں کچھ ڈيليٹ کرنيوالے خود ڈيليٹ جائينگے، کنٹينر تيار ڈاکٹر طاہرالقادري
 
…"	0
کيا ہم واپس اس دور ميں لوٹ جائيں گے جب لوگ عام جراثيم سے ڈرتے تھے؟	N	کيا واپس ميں لوٹ جائيں جب عام جراثيم ڈرتے تھے؟	-2
بات رپورٹ سے زيادہ غيرت کي ہے<+> اگر رانا ثنا ميں رتي بھر غيرت ہوتي تو جھوٹ پر جھوٹ بولنے کي بجائے استعف<+>ي دے ديتا	N	بات رپورٹ زيادہ غيرت کي اگر رانا ثنا ميں رتي بھر غيرت ہوتي جھوٹ جھوٹ بولنے کي بجائے استعفي ديتا	2
کوئٹہٹريفک سارجنٹ کيس ميں ضمانت کي درخواست پرفريقين کے دلائل مکمل	N	کوئٹہٹريفک سارجنٹ کيس ميں ضمانت کي درخواست پرفريقين دلائل مکمل	2
"سانحہ ماڈل ٹاؤن کے لاپتہ افراد کا بھي جواب دے حکومت
 

  …"	N	"سانحہ ماڈل ٹاؤن لاپتہ بھي جواب حکومت
 

 …"	-2
"پراسيکيوٹرجنرل کي تعيناتي چيئرمين نيب نے حکومتي دباؤ مسترد کرديا

مزيد پڑھيں"	N	"پراسيکيوٹرجنرل کي تعيناتي چيئرمين نيب حکومتي دباؤ مسترد کرديا

مزيد پڑھيں"	-4
"کراچي ميں بے قابو ٹرک‘ ديوار توڑتا ہوا مکان ميں داخل

مزيد پڑھيں"	N	"کراچي ميں بے قابو ٹرک‘ ديوار توڑتا مکان ميں داخل

مزيد پڑھيں"	0
ستمبر   شام سات  بجے کا نيوز بُليٹن	O	ستمبر شام سات بجے نيوز بُليٹن	0
"“بلاؤ حسين اور علي کو بچائيں تمھيں” نعروں کے جواب ميں پوليس کا نہتي عورتوں پر تشدد کے دوران  جوابي نعرہ<+> 
 
…"	N	"“بلاؤ حسين علي بچائيں تمھيں” نعروں جواب ميں پوليس نہتي عورتوں تشدد دوران جوابي نعرہ 
…"	-2
پڑھے گاجعفرآباد توبڑرھے گاجعفر	O	پڑھے گاجعفرآباد توبڑرھے گاجعفر	0
آصف زرداري اور بلاول بھٹو زرداري جلسہ گاہ پہنچ گئے	O	آصف زرداري بلاول بھٹو زرداري جلسہ گاہ پہنچ	1
پيپلزپارٹي کا جلسہ، کارکنان گتھم گتھا ہوگئے	N	پيپلزپارٹي جلسہ، کارکنان گتھم گتھا	0
اس رپورٹ اور فيض آباد دھرنے کے بعد حکومت کو چاہيے جب کوئي مظاہرين احتجاج کرے تو بجائے پوليس استعمال کرنے…	N	رپورٹ فيض آباد دھرنے بعد حکومت چاہيے جب کوئي مظاہرين احتجاج بجائے پوليس استعمال کرنے…	1
پوليس کوجون کي رات منہاج القرآن کےبيرئيرہٹانےکاسخت حکم ملا،آئي ايس آئي رپورٹ	O	پوليس کوجون کي رات منہاج القرآن کےبيرئيرہٹانےکاسخت حکم ملا،آئي ايس آئي رپورٹ	0
لاس ويگس کنسرٹ ميں فائرنگ سے  ہلاک،  سے زيادہ زخمي	N	لاس ويگس کنسرٹ ميں فائرنگ ہلاک، زيادہ زخمي	0
پي پي جلسے کے فضائي مناظر <><+><+><><+><+>	O	پي پي جلسے فضائي مناظر	0
يہ 'لڑکي کے بھائي‘ کون ہيں؟	O	يہ 'لڑکي بھائي‘ کون ہيں؟	0
بنگلاديش پريميئر ليگ ميں مصباح الحق يکسر ناکام	O	بنگلاديش پريميئر ليگ ميں مصباح الحق يکسر ناکام	-1
مزيد تفصيلات کے لئے لنک پرکلک کريں	O	مزيد تفصيلات لنک پرکلک کريں	0
مريم نوازنےغوث علي شاہ کےتحفظات دورکرنےکي يقين دہاني کرادي،ذرائع	O	مريم نوازنےغوث علي شاہ کےتحفظات دورکرنےکي يقين دہاني کرادي،ذرائع	0
ستمبر   رات  بجے کا گلوبل نيوز بيٹ	O	ستمبر رات بجے گلوبل نيوز بيٹ	0
اس ملک ميں کبھي جمہوريت چلي ہي نہيں<+>بار بار ملڑي آ جاتي ہے<+>ہمارا بڑا مسئلہ يہ ہے کہ ملٹري ڈکٹيٹر جمہوري ليڈر بنن…	N	ملک ميں کبھي جمہوريت چلي ہي نہيںبار بار ملڑي آ جاتي ہےہمارا بڑا مسئلہ يہ ملٹري ڈکٹيٹر جمہوري ليڈر بنن…	-1
ماڈل ٹاؤن رپورٹ کيوں چُھپائي جا رہي تھي؟	N	ماڈل ٹاؤن رپورٹ کيوں چُھپائي جا رہي تھي؟	0
"ماڈل ٹاؤن رياستي دہشتگردي کي انتہاء ہيں 
سہيل وڑائچ"	N	"ماڈل ٹاؤن رياستي دہشتگردي کي انتہاء ہيں 
سہيل وڑائچ"	0
"قاتلوں کے ليے فرار کا کوئي راستہ نہيں
 

   …"	N	"قاتلوں ليے فرار کوئي راستہ نہيں
 

 …"	0
مائنس ون کے ليے کوئي بہانہ نہ ملا تو بيٹے سے تنخواہ نہ لينے پر وزير اعظم کو فارغ کرديا، ملک ہميشہ ايسے ہي فيصلوں سے…	N	مائنس ون ليے کوئي بہانہ نہ ملا بيٹے تنخواہ نہ لينے وزير اعظم فارغ کرديا، ملک ہميشہ ايسے ہي فيصلوں سے…	-3
مانچسٹرايريناحملےکےماسٹرمائنڈسلمان عبيدي سےمتعلق خفيہ ايجنسياں مہينوں پہلےسےآگاہ تھيں،حکام	O	مانچسٹرايريناحملےکےماسٹرمائنڈسلمان عبيدي سےمتعلق خفيہ ايجنسياں مہينوں پہلےسےآگاہ تھيں،حکام	0
پي پي پي  کي  ماہ  سے تيار کر دا جلسہ بھي فلاپ  رہا	N	پي پي پي کي ماہ تيار دا جلسہ بھي فلاپ	0
پيپلزپارٹي کا جلسہ، کارکنان گتھم گتھا ہوگئے	N	پيپلزپارٹي جلسہ، کارکنان گتھم گتھا	0
ميکسيکو ميں زلزلہ کئي عمارتيں منہدم،  افراد ہلاک	N	ميکسيکو ميں زلزلہ کئي عمارتيں منہدم، ہلاک	0
لاہوربلوچستان ميں سي پيک کا ڈھنڈورا پيٹا جا رہا ہے وہاں تو پاني نہيں،بلاول بھٹو	N	لاہوربلوچستان ميں سي پيک ڈھنڈورا پيٹا جا وہاں پاني نہيں،بلاول بھٹو	0
ڈرتے ہيں بندوقوں والے ايک نہتي لڑکي سے ،بلاول بھٹو	N	ڈرتے ہيں بندوقوں ايک نہتي لڑکي ،بلاول بھٹو	0
"جلسہ کيا پيپلزپارٹي نے
نيند نہيں آ رہي پٹواريوں اور يوتھيوں کو
ايسا کيوں <><+><+><><+><+>"	N	"جلسہ کيا پيپلزپارٹي نے
نيند نہيں آ رہي پٹواريوں يوتھيوں کو
ايسا کيوں"	0
ستمبر  صبح  بجے کا گلوبل نيوز بيٹ	O	ستمبر صبح بجے گلوبل نيوز بيٹ	1
حکومت دہشت گردي کے خاتمے کا دعوي <+>کرتي ہے، اسفنديار ولي	N	حکومت دہشت گردي خاتمے دعوي کرتي ہے، اسفنديار ولي	-2
ججز نے کيا فيصلہ سنايا؟	O	ججز کيا فيصلہ سنايا؟	0
جيمزميٹس نے وزيردفاع خرم دستگيرسے بھي ملاقات کي،ترجمان امريکي سفارتخانہ	O	جيمزميٹس وزيردفاع خرم دستگيرسے بھي ملاقات کي،ترجمان امريکي سفارتخانہ	1
کوئٹہشديدسردي کےبعدشہرکےبيشترعلاقوں ميں گيس پريشرميں کمي	N	کوئٹہشديدسردي کےبعدشہرکےبيشترعلاقوں ميں گيس پريشرميں کمي	0
وزيراعلي<+> پنجاب  شہبازشريف قتل عام کےذمہ دارہيں،طاہرالقادري	N	وزيراعلي پنجاب شہبازشريف قتل عام کےذمہ دارہيں،طاہرالقادري	-2
اکتوبر   شام چھ بجے کا نيوز بُليٹن	O	اکتوبر شام چھ بجے نيوز بُليٹن	0
کوئٹہ ميں فائرنگ سے پوليس افسراہليہ، بيٹے اورپوتے سميت جاں بحق	N	کوئٹہ ميں فائرنگ پوليس افسراہليہ، بيٹے اورپوتے سميت جاں بحق	0
سانحہ ماڈل ٹاؤن ميں طاہرالقادري کے لوگ اندر سے فائرنگ کرتے تھے جو پوليس کي سيفٹي شيلڈ دے ٹکرا کر واپس جاتي اور…	N	سانحہ ماڈل ٹاؤن ميں طاہرالقادري اندر فائرنگ پوليس کي سيفٹي شيلڈ ٹکرا واپس جاتي اور…	-2
اے ٹي ايم  فراڈ کے معاملے  پر چيني سفارتکاروں کو خط لکھ چکے ہيں ، ايف آئي اے حکام	N	اے ٹي ايم فراڈ معاملے چيني سفارتکاروں خط لکھ ہيں ، ايف آئي اے حکام	0
اسلام آبادوزيراعظم شاہد خاقان عباسي کي زيرصدارت سول سروس ريفارمز پر اجلاس	O	اسلام آبادوزيراعظم شاہد خاقان عباسي کي زيرصدارت سول سروس ريفارمز اجلاس	0
ستمبر   شام پانچ  بجے کا نيوز بُليٹن	O	ستمبر شام پانچ بجے نيوز بُليٹن	0
"جنرل فلن کا اعتراف صدر ٹرمپ کي مشکلات ميں اضافہ

مزيد پڑھيں"	N	"جنرل فلن اعتراف صدر ٹرمپ کي مشکلات ميں اضافہ

مزيد پڑھيں"	1
فائرنگ کس کے حکم پر ہوئي؟کوئي پوليس آفيسر بتانے کو تيار نہيں باقر نجفي رپورٹ	N	فائرنگ کس حکم ہوئي؟کوئي پوليس آفيسر بتانے تيار نہيں باقر نجفي رپورٹ	1
اکتوبر  رات  بجے کا گلوبل نيوز بيٹ	O	اکتوبر رات بجے گلوبل نيوز بيٹ	0
کراچيپاني کي صورتحال ميرے ليے بہت تکليف دہ  ہے،چيف جسٹس	N	کراچيپاني کي صورتحال ميرے ليے بہت تکليف دہ ہے،چيف جسٹس	0
مستقبل ميں زرعي بنيادپر پاليسي بنائي جائے گي، آصف زرداري	P	مستقبل ميں زرعي بنيادپر پاليسي بنائي گي، آصف زرداري	0
’ايک دفعہ پھر کسي خفيہ اين آر او کي کوشش جاري ہے ليکن کاميابي کا امکان معدوم ہے‘	N	’ايک کسي خفيہ اين آر او کي کوشش جاري ليکن کاميابي امکان معدوم ہے‘	-2
"سانحہ ماڈل ٹاؤن کا قتلِ عام حکمرانوں کے ليے پھانسي کا پھندا بننے والا ہے ان شاء اللہ
 

…"	N	"سانحہ ماڈل ٹاؤن قتلِ عام حکمرانوں ليے پھانسي پھندا بننے والا شاء اللہ
 

…"	-4
پيپلزپارٹي کا جلسہ، کارکنان گتھم گتھا ہوگئے	N	پيپلزپارٹي جلسہ، کارکنان گتھم گتھا	0
پنجاب حکومت نے فيصلے کے خلاف انٹرا کورٹ اپيل دائر کي گئي تھي	N	پنجاب حکومت فيصلے خلاف انٹرا کورٹ اپيل دائر کي گئي تھي	0
پيپلزپارٹي کا جلسہ، کارکنان گتھم گتھا ہوگئے	N	پيپلزپارٹي جلسہ، کارکنان گتھم گتھا	0
اسلام آبادپيپلز پارٹي کي کمان کي تبديلي کر دي گئي	O	اسلام آبادپيپلز پارٹي کي کمان کي تبديلي دي گئي	0
"دورہ بھارت، ايوانکا ٹرمپ کا لباس موضوع بحث بن گيا

تفصيلات کے ليے لنک پر کلک کريں"	O	"دورہ بھارت، ايوانکا ٹرمپ لباس موضوع بحث بن گيا

تفصيلات ليے لنک کلک کريں"	-2
"سانحہ ماڈل ٹاؤن کي ذمہ دار پنجاب حکومت ھے
جاويد ہاشمي"	N	"سانحہ ماڈل ٹاؤن کي ذمہ دار پنجاب حکومت ھے
جاويد ہاشمي"	0
اليکشن کميشن کااہم اجلاس	O	اليکشن کميشن کااہم اجلاس	0
"بھٹو زندہ تک تو ٹھيک تھا 
پر يہ تو بھٹو کا بيڑا غرق ہوا پڑا"	N	"بھٹو زندہ ٹھيک 
پر يہ بھٹو بيڑا غرق پڑا"	0
"حکومت نے باقر نجفي کميشن رپورٹ ميں تبديلي کي، ڈاکٹرطاہرالقادري

مزيد پڑھيں 
 …"	N	"حکومت باقر نجفي کميشن رپورٹ ميں تبديلي کي، ڈاکٹرطاہرالقادري

مزيد پڑھيں …"	0
اکتوبر رات  بجے کا گلوبل نيوز بيٹ	O	اکتوبر رات بجے گلوبل نيوز بيٹ	0
اکتوبر   رات  بجے کا گلوبل نيوز بيٹ	O	اکتوبر رات بجے گلوبل نيوز بيٹ	0
کراچي  ڈي ايس پي ذمے داران کي رپورٹ عدالت ميں دانستہ پيش نہيں کررہے،وکيل	N	کراچي ڈي ايس پي ذمے داران کي رپورٹ عدالت ميں دانستہ پيش نہيں کررہے،وکيل	0
اٹلي ميں ساکن آتش فشاں کے دہانے ميں گرنے سے والدين اور بچہ ہلاک	N	اٹلي ميں ساکن آتش فشاں دہانے ميں گرنے والدين بچہ ہلاک	0
"لاہورسياسي بحران سےنجات کاواحدحل فوري انتخابات ہيں،عليم خان
پھول نگربائي پاس پردھرنا ختم،مارکيٹيں کھل گئيں"	N	"لاہورسياسي بحران سےنجات کاواحدحل فوري انتخابات ہيں،عليم خان
پھول نگربائي پاس پردھرنا ختم،مارکيٹيں کھل گئيں"	-2
پيپلز پارٹي کو چاہيے کہ گولڈن جوبلي کے ساتھ ساتھ چاليسواں بھي منا ليتے پارٹي کا	N	پيپلز پارٹي چاہيے گولڈن جوبلي ساتھ ساتھ چاليسواں بھي منا ليتے پارٹي	0
"ساںحہ ماڈل ٹاؤن پر جسٹس باقرنجفي کميشن کي رپورٹ پبلک کردي، رانا ثناءاللہ

مزيد پڑھيں"	O	"ساںحہ ماڈل ٹاؤن جسٹس باقرنجفي کميشن کي رپورٹ پبلک کردي، رانا ثناءاللہ

مزيد پڑھيں"	0
کراچي ميں تيزہوائيں،سردي ميں اضافہ،محکمہ موسميات	O	کراچي ميں تيزہوائيں،سردي ميں اضافہ،محکمہ موسميات	0
حزب اختلاف کے احتجاج کے باوجود قومي اسمبلي ميں انتخابي اصلاحات کا بل منظور	N	حزب اختلاف احتجاج باوجود قومي اسمبلي ميں انتخابي اصلاحات بل منظور	-2
دنيا کے جس کونے ميں چھپ جاؤ خون تمہارے ہاتھوں پر ہے قصاص ليں گے<+>	N	دنيا جس کونے ميں چھپ جاؤ خون تمہارے ہاتھوں قصاص ليں	-2
کٹھ پتلي ڈانس <><+><+><><+><+><><+><+><><+><+>	O	کٹھ پتلي ڈانس	0
ميں نے جو رپورٹ پڑھي ہے اس ميں انھي کي طرف پوائنٹ کرتا ہے،عمران خان	N	ميں رپورٹ پڑھي ميں انھي کي پوائنٹ کرتا ہے،عمران خان	0
عراق ميں نصيريہ شہر کے قريب دو حملے، ہلاکتوں کي تعداد  ہوگئي	N	عراق ميں نصيريہ شہر قريب حملے، ہلاکتوں کي تعداد ہوگئي	0
راناثنا نےکہاکہ طاہرالقادري کومقاصدحاصل کرنے نہيں دينگے ، باقر نجفي رپورٹ	P	راناثنا نےکہاکہ طاہرالقادري کومقاصدحاصل کرنے نہيں دينگے ، باقر نجفي رپورٹ	0
سانحہ ماڈل ٹاؤن باقر نجفي رپورٹ  کے  خاص صفحے منظرعام پر آگئے	O	سانحہ ماڈل ٹاؤن باقر نجفي رپورٹ خاص صفحے منظرعام آگئے	-1
حکومت نےثابت کردياباقرنجفي کميشن رپورٹ ميں تبديلي کي گئي،طاہرالقادري	N	حکومت نےثابت کردياباقرنجفي کميشن رپورٹ ميں تبديلي کي گئي،طاہرالقادري	0
ايدھي ايمبولينس کے ڈرائيور پر تشدد کيوں ہوا؟	N	ايدھي ايمبولينس ڈرائيور تشدد کيوں ہوا؟	-2
"کراچي،حيدرآباد،سکھر،ميرپورخاص ميں کل موبائل فون سروس بندرہےگي
صبحسےراتبجےتک موبائل فون سروس بندرہےگي،نوٹي فکيشن"	O	"کراچي،حيدرآباد،سکھر،ميرپورخاص ميں موبائل فون سروس بندرہےگي
صبحسےراتبجےتک موبائل فون سروس بندرہےگي،نوٹي فکيشن"	0
کيا اس رپورٹ کے کچھ حصے حذف تو نہيں کئے گئے؟	O	کيا رپورٹ کچھ حصے حذف نہيں گئے؟	-2
کوئي بھي اين آر او کرے ہم اس کے خلاف ہيں<+>دو اين آر آوز نے پاکستان کو بہت نقصان پہنچايا<+>پاکستان کو قرض کے بوجھ تل…	N	کوئي بھي اين آر او خلاف ہيںدو اين آر آوز پاکستان بہت نقصان پہنچاياپاکستان قرض بوجھ تل…	-6
"اٹھولوگو! بغاوت سے قيامت اب بپاء کردو 
تمہيں خاموش رہنے کي يہ عادت مار ڈالے گي"	N	"اٹھولوگو! بغاوت قيامت بپاء کردو 
تمہيں خاموش رہنے کي يہ عادت مار ڈالے گي"	-1
"جب کہہ ديا کہ قصاص ھو گا تو مطلب کہ ھو گا<+>
رب کعبہ کي قسم ڈاکٹر قادري کے غضب اور رب کي گرفت سے نام نہاد شريف گينگ ک…"	N	"جب کہہ ديا قصاص ھو مطلب ھو گا
رب کعبہ کي قسم ڈاکٹر قادري غضب رب کي گرفت نام نہاد شريف گينگ ک…"	-5
مشرف کا کوئي مستقبل نہيں،وہ چھپ کرباہر بيٹھ گيا ہے،آصف زرادري	N	مشرف کوئي مستقبل نہيں،وہ چھپ کرباہر بيٹھ گيا ہے،آصف زرادري	1
"اسلام آبادقومي اسمبلي  کي مذہبي امورپرقائمہ کميٹي  کااجلاس
اسلام آبادسيرت کانفرنس سےمتعلق امورپروزارت مذہبي امورکي بريفنگ"	O	"اسلام آبادقومي اسمبلي کي مذہبي امورپرقائمہ کميٹي کااجلاس
اسلام آبادسيرت کانفرنس سےمتعلق امورپروزارت مذہبي امورکي بريفنگ"	0
آئندہ انتخابات کيلئےمثبت اورمشترکہ کوشش کررہےہيں، آئندہ اليکشن ميں ايک نام،ايک منشوراورايک نشان ہوگا،فاروق ستار	N	آئندہ انتخابات کيلئےمثبت اورمشترکہ کوشش کررہےہيں، آئندہ اليکشن ميں ايک نام،ايک منشوراورايک نشان ہوگا،فاروق ستار	0
"رپورٹ ميں سے کچھ ڈيليٹ کرنيوالے خود ڈيليٹ ہو جائينگے، کنٹينر تيار ہے ڈاکٹر طاہرالقادري
 
…"	N	"رپورٹ ميں کچھ ڈيليٹ کرنيوالے خود ڈيليٹ جائينگے، کنٹينر تيار ڈاکٹر طاہرالقادري
 
…"	0
"سماعت بغير کارروائي کے ملتوي ہونے کے بعد مريم نواز کي ميڈيا سے گفتگو
مزيد تفصيلات ہمارے لائيو پيج پر…"	O	"سماعت بغير کارروائي ملتوي ہونے بعد مريم نواز کي ميڈيا گفتگو
مزيد تفصيلات ہمارے لائيو پيج پر…"	0
"قانون کي نظر ميں جسٹس باقر نجفي رپورٹ غيرمؤثر ہے
وزيرقانون رانا ثناءاللہ کي پريس کانفرنس
اگر قانون کي نظر ميں يہ رپ…"	N	"قانون کي نظر ميں جسٹس باقر نجفي رپورٹ غيرمؤثر ہے
وزيرقانون رانا ثناءاللہ کي پريس کانفرنس
اگر قانون کي نظر ميں يہ رپ…"	0
"جب رپورٹ پبلک ہوئي تو خيال آيا  کو يہ ناقص ہے
اگر دبي رہتي تو کوئي مسئلہ نہ تھا
بے شرم بے غيرت ليگ…"	N	"جب رپورٹ پبلک ہوئي خيال آيا يہ ناقص ہے
اگر دبي رہتي کوئي مسئلہ نہ تھا
بے شرم بے غيرت ليگ…"	-5
"ايکسپريس نيوز کي براہ راست نشريات ديکھنے کے ليے لنک پر کلک کريں<+>
 …"	O	"ايکسپريس نيوز کي براہ راست نشريات ديکھنے ليے لنک کلک کريں
 …"	1
اکتوبر   شام چھ بجے کا نيوز بُليٹن	O	اکتوبر شام چھ بجے نيوز بُليٹن	0
پوليس نے وہي کيا جس کے ليے اس کو بھيجا گيا رپورٹ	O	پوليس وہي کيا جس ليے بھيجا گيا رپورٹ	0
اکتوبر  رات  بجے کا گلوبل نيوز بيٹ	O	اکتوبر رات بجے گلوبل نيوز بيٹ	0
ماڈل ٹاؤن آپريشن رانا ثناء اللہ کي نگراني ميں پلان کيا گيا، باقر نجفي رپورٹ	N	ماڈل ٹاؤن آپريشن رانا ثناء اللہ کي نگراني ميں پلان کيا گيا، باقر نجفي رپورٹ	0
"بابر اعوان کا ٹويٹ 

          …"	O	"بابر اعوان ٹويٹ 

 …"	0
جب آپ کسي طبقے کو پسماندہ کرتے ہيں تو وہ باغي ہو جاتے ہيں	O	جب آپ کسي طبقے پسماندہ ہيں باغي جاتے ہيں	0
ستمبر  رات  بجے کا گلوبل نيوز بيٹ	O	ستمبر رات بجے گلوبل نيوز بيٹ	0
مايوسي اس قدر بڑھ چکي تھي کہ غريب اور محنت کش لوگ رياست کے وجود سے نالاں دکھائي دينے لگے	N	مايوسي قدر بڑھ چکي تھي غريب محنت کش رياست وجود نالاں دکھائي دينے	2
"زمين آپ کي تھي ہي نہيں توکون سااحسان کيا،چيف جسٹس 
خداسےڈرو،خدمت کرنيوالےکي زمين پربھي قبضہ کرتےہو؟جسٹس احمدعلي"	N	"زمين آپ کي تھي ہي نہيں توکون سااحسان کيا،چيف جسٹس 
خداسےڈرو،خدمت کرنيوالےکي زمين پربھي قبضہ کرتےہو؟جسٹس احمدعلي"	0
کٹھ پتلي ڈانس <><+><+><><+><+><><+><+><><+><+>	O	کٹھ پتلي ڈانس	0
"کراچيآئي جي سندھ کي انسدادپوليو مہم سےمتعلق ہدايات جاري
شہر ميں مہم کے دوران سيکيورٹي اقدامات کوغيرمعمولي بنايا جائے،آئي جي"	N	"کراچيآئي جي سندھ کي انسدادپوليو مہم سےمتعلق ہدايات جاري
شہر ميں مہم دوران سيکيورٹي اقدامات کوغيرمعمولي بنايا جائے،آئي جي"	0
ملزمان نے چمن بم دھماکے ميں دہشتگردوں کي سہولت کاري کي،سرفرازبگٹي	N	ملزمان چمن بم دھماکے ميں دہشتگردوں کي سہولت کاري کي،سرفرازبگٹي	1
کون ہے اسکا ذمےدار	O	کون اسکا ذمےدار	0
ہميں انھيں يوں قتل کر دينا چاہيے جيسے وہ کتے ہوں ميانمار پر بي بي سي کي رپورٹ	N	ہميں انھيں يوں قتل دينا چاہيے جيسے کتے ميانمار بي بي سي کي رپورٹ	-2
جاہل ليگ کو لگا تھا اخباري  دور ہے جتنا مرضي قتل و غارت کرو کسي کو پتہ ہي نہيں لگے گا<+>	N	جاہل ليگ لگا اخباري جتنا مرضي قتل غارت کسي پتہ ہي نہيں	-6
